Podcast Name,RSS URL,Site URL,Exclude
Conversations with Tyler,https://cowenconvos.libsyn.com/rss,https://conversationswithtyler.com,0
Acquired,https://feeds.transistor.fm/acquired,https://acquired.fm,0
ACQ2 by Acquired,https://feeds.transistor.fm/acq2,https://acquired.fm,0
Hard Fork,https://feeds.simplecast.com/l2i9YnTd,https://nytimes.com/column/hard-fork,0
The Ezra Klein Show,https://feeds.simplecast.com/82FI35Px,https://nytimes.com/column/ezra-klein-podcast,0
Planet Money,https://feeds.npr.org/510289/podcast.xml,https://npr.org/sections/money,0
Radiolab,https://feeds.simplecast.com/EmVW7VGp,https://radiolab.org,0
Sharp Tech with Ben Thompson,https://sharptech.fm/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://stratechery.com,0
Stratechery,https://rss.stratechery.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://stratechery.com,0
Political Gabfest,https://feeds.megaphone.fm/slatespoliticalgabfest,https://slate.com/podcasts/political-gabfest,0
The Knowledge Project with Shane Parrish,https://feeds.megaphone.fm/FSMI7575968096,https://fs.blog/knowledge-project,0
The Rewatchables,https://feeds.megaphone.fm/the-rewatchables,https://theringer.com/the-rewatchables,0
EconTalk,https://feeds.simplecast.com/wgl4XEgL,https://econtalk.org,0
Dithering,https://rss.dithering.passport.online/feed/podcast/MMs7xScDXhCnUAesQqB2Xa,https://dithering.fm,0
The Recipe with Kenji and Deb,https://rss.pdrl.fm/cd4580/feed.therecipepodcast.com/,https://therecipepodcast.com,0